,id,gps2id,start,duraion
0,1,1497,0,10
1,1,1496,13,4
2,1,1497,20,2
3,1,1496,23,4
4,2,755,0,5
5,2,854,8,3
6,2,805,14,4
7,2,855,21,2
8,3,805,0,9
9,3,705,12,3
10,3,904,18,4
11,3,1578,23,4
12,4,1497,0,8
13,4,1593,11,4
14,4,1497,18,3
15,4,1547,22,2
16,5,804,2,5
17,5,1006,10,4
18,5,804,17,9
19,6,1518,0,5
20,6,1517,8,2
21,6,1676,13,9
22,6,706,23,3
23,7,656,10,3
24,7,704,15,3
25,7,805,21,2
26,8,756,3,2
27,8,555,6,4
28,8,804,13,5
29,8,1007,20,2
30,8,804,23,3
31,9,855,0,8
32,9,755,11,3
33,9,804,17,5
34,9,855,23,5
35,10,1362,4,1
36,10,1363,8,3
37,10,843,14,2
38,10,1193,19,4
39,11,1330,4,1
40,11,1578,8,7
41,11,1496,18,4
42,11,1446,23,3
43,12,855,0,11
44,12,1208,13,2
45,12,855,18,4
46,12,805,23,3
47,13,1446,1,13
48,13,1546,17,2
49,13,1497,21,3
50,14,1446,0,11
51,14,1447,12,3
52,14,1446,17,6
53,15,1498,2,8
54,15,1547,12,4
55,15,1497,19,4
56,16,755,0,8
57,16,804,10,4
58,16,755,17,4
59,16,705,22,2
60,17,805,0,6
61,17,904,9,5
62,17,805,17,4
63,17,804,22,1
64,18,1782,0,7
65,18,1730,10,4
66,18,1781,16,4
67,18,1730,21,2
68,19,1546,0,8
69,19,1545,11,3
70,19,1546,17,4
71,19,1545,22,2
72,20,855,3,5
73,20,804,11,4
74,20,855,18,4
75,20,1263,23,3
76,21,1497,0,6
77,21,1396,9,5
78,21,1547,17,4
79,21,1497,22,3
80,22,756,4,1
81,22,1029,8,3
82,22,1517,14,10
83,23,1495,7,1
84,23,1496,11,4
85,23,1495,17,3
86,23,1496,21,2
87,24,1496,0,4
88,24,1346,7,7
89,24,1496,17,4
90,24,1497,22,1
91,25,1490,0,16
92,25,1489,19,2
93,25,1490,22,2
94,26,1495,0,12
95,26,1446,14,3
96,26,1396,20,4
97,27,755,0,1
98,27,804,4,5
99,27,755,12,4
100,27,804,19,4
101,28,905,1,2
102,28,403,4,4
103,28,903,9,8
104,28,403,18,3
105,28,903,22,2
106,29,1496,0,8
107,29,1495,10,4
108,29,1496,16,5
109,29,1397,22,1
110,30,1546,7,2
111,30,1545,12,5
112,30,1497,20,2
113,30,1547,23,3
114,31,804,0,7
115,31,805,10,3
116,31,756,16,11
117,32,1496,0,6
118,32,1497,9,5
119,32,1496,17,4
120,32,1497,22,1
121,33,1495,0,4
122,33,1446,6,6
123,33,1544,14,3
124,33,1495,19,7
125,34,1496,0,9
126,34,1546,12,3
